vehicle,lon,lat,x_web_mercator,y_web_mercator,heading_deg,acc_FACE,acc_CachedDFL,acc_V2V,acc_LearningAware
56,127.061961,37.508531,14144472.8,4510228.5,-164.4,0.5313,0.5313,0.5336,0.5313
57,127.061071,37.498561,14144373.7,4508829.5,-75.2,0.5754,0.5986,0.5824,0.5754
58,127.060089,37.514310,14144264.4,4511039.5,-34.5,0.6427,0.6508,0.6555,0.6369
59,127.014335,37.525934,14139171.1,4512671.0,125.3,0.7309,0.5534,0.5592,0.6740
60,127.064167,37.506441,14144718.4,4509935.2,-63.7,0.3190,0.3306,0.3190,0.3190
61,126.995516,37.503614,14137076.2,4509538.5,-105.7,0.3167,0.3132,0.3167,0.3167
62,127.144197,37.478601,14153627.3,4506029.2,-106.0,0.3167,0.3167,0.3167,0.3167
63,127.127847,37.475918,14151807.2,4505652.9,154.8,0.9060,0.9072,0.9095,0.9095
64,127.128671,37.469690,14151898.9,4504779.3,-1.1,0.6311,0.6288,0.6763,0.6311
65,126.990092,37.493227,14136472.4,4508081.1,-69.9,0.3561,0.3631,0.3631,0.3561
66,127.020610,37.512097,14139869.6,4510728.9,-54.5,0.8852,0.8944,0.8956,0.8910
67,127.008200,37.507184,14138488.2,4510039.5,-47.9,0.5000,0.5012,0.5058,0.5000
68,126.987997,37.534263,14136239.2,4513840.1,-175.9,0.6624,0.3921,0.3770,0.6740
69,127.033347,37.486045,14141287.5,4507073.5,110.8,0.8666,0.6415,0.6369,0.8596
70,127.141756,37.478254,14153355.5,4505980.5,-93.3,0.3561,0.3561,0.3155,0.3561
